[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.04%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.926MiB / 125MiB, 4.74%, 824kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 17.19%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.60%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.57%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.35%, 5.926MiB / 125MiB, 4.74%, 824kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.38%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.60%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.57%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.35%, 5.926MiB / 125MiB, 4.74%, 824kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.38%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.65%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.09%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.26%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.84%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.65%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.09%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.26%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.84%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.07%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.23%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.07%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.15%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.23%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.08%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.44%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.00%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.08%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.12%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.44%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.17%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.00%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.59%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.29%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.45%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.15%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.59%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.29%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.45%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.15%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.39%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.27%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.70%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.39%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.27%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.70%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.69%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.52%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 15.69%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.52%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.60%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.14%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.11%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.60%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.14%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.11%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.14%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.14%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.20%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.14%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.27%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.20%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.14%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.13%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.27%, 29.4MiB / 500MiB, 5.88%, 3.3MB / 579kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.13%, 5.926MiB / 125MiB, 4.74%, 825kB / 471kB, 160kB / 0B
