[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 0.00%, 16.55MiB / 3.871GiB, 0.42%, 2.91kB / 182B, 58.5MB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 65.88%, 87.05MiB / 3.871GiB, 2.20%, 11.7MB / 274kB, 158MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.477MiB / 3.871GiB, 0.06%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 53.20%, 189.8MiB / 3.871GiB, 4.79%, 11.7MB / 274kB, 229MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.477MiB / 3.871GiB, 0.06%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 53.20%, 189.8MiB / 3.871GiB, 4.79%, 11.7MB / 274kB, 229MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.477MiB / 3.871GiB, 0.06%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 55.21%, 205.6MiB / 3.871GiB, 5.19%, 11.7MB / 274kB, 291MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 4.11%, 2.645MiB / 3.871GiB, 0.07%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 55.21%, 205.6MiB / 3.871GiB, 5.19%, 11.7MB / 274kB, 291MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 4.11%, 2.645MiB / 3.871GiB, 0.07%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 39.04%, 257.8MiB / 3.871GiB, 6.50%, 11.7MB / 274kB, 380MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 39.04%, 257.8MiB / 3.871GiB, 6.50%, 11.7MB / 274kB, 380MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 43.89%, 314MiB / 3.871GiB, 7.92%, 11.7MB / 274kB, 456MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 43.89%, 314MiB / 3.871GiB, 7.92%, 11.7MB / 274kB, 456MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 54.52%, 397.8MiB / 3.871GiB, 10.03%, 11.7MB / 274kB, 521MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 54.52%, 397.8MiB / 3.871GiB, 10.03%, 11.7MB / 274kB, 521MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 50.94%, 464MiB / 3.871GiB, 11.70%, 11.7MB / 274kB, 594MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 50.94%, 464MiB / 3.871GiB, 11.70%, 11.7MB / 274kB, 594MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 45.45%, 530.7MiB / 3.871GiB, 13.39%, 11.7MB / 274kB, 675MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 45.45%, 530.7MiB / 3.871GiB, 13.39%, 11.7MB / 274kB, 675MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 58.02%, 594.6MiB / 3.871GiB, 15.00%, 11.7MB / 274kB, 719MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 58.02%, 594.6MiB / 3.871GiB, 15.00%, 11.7MB / 274kB, 719MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 52.59%, 664.5MiB / 3.871GiB, 16.76%, 11.7MB / 274kB, 788MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 52.59%, 664.5MiB / 3.871GiB, 16.76%, 11.7MB / 274kB, 788MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 50.95%, 753.9MiB / 3.871GiB, 19.02%, 11.7MB / 274kB, 852MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 50.95%, 753.9MiB / 3.871GiB, 19.02%, 11.7MB / 274kB, 852MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 51.52%, 830.7MiB / 3.871GiB, 20.95%, 11.7MB / 274kB, 924MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 51.52%, 830.7MiB / 3.871GiB, 20.95%, 11.7MB / 274kB, 924MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 61.10%, 940.9MiB / 3.871GiB, 23.74%, 11.7MB / 274kB, 982MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 61.10%, 940.9MiB / 3.871GiB, 23.74%, 11.7MB / 274kB, 982MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 53.04%, 1016MiB / 3.871GiB, 25.63%, 11.7MB / 274kB, 1.04GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 53.04%, 1016MiB / 3.871GiB, 25.63%, 11.7MB / 274kB, 1.04GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 54.76%, 1.053GiB / 3.871GiB, 27.20%, 11.7MB / 274kB, 1.1GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 54.76%, 1.053GiB / 3.871GiB, 27.20%, 11.7MB / 274kB, 1.1GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 68.38%, 1.141GiB / 3.871GiB, 29.47%, 11.7MB / 274kB, 1.14GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 68.38%, 1.141GiB / 3.871GiB, 29.47%, 11.7MB / 274kB, 1.14GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 60.01%, 1.225GiB / 3.871GiB, 31.66%, 11.7MB / 274kB, 1.19GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 60.01%, 1.225GiB / 3.871GiB, 31.66%, 11.7MB / 274kB, 1.19GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 25.29%, 1.308GiB / 3.871GiB, 33.79%, 11.7MB / 274kB, 1.31GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 25.29%, 1.308GiB / 3.871GiB, 33.79%, 11.7MB / 274kB, 1.31GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 18.46%, 1.38GiB / 3.871GiB, 35.65%, 11.7MB / 274kB, 1.46GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 18.46%, 1.38GiB / 3.871GiB, 35.65%, 11.7MB / 274kB, 1.46GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 22.80%, 1.45GiB / 3.871GiB, 37.44%, 11.7MB / 274kB, 1.59GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 22.80%, 1.45GiB / 3.871GiB, 37.44%, 11.7MB / 274kB, 1.59GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 24.40%, 1.529GiB / 3.871GiB, 39.48%, 11.7MB / 274kB, 1.69GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 24.40%, 1.529GiB / 3.871GiB, 39.48%, 11.7MB / 274kB, 1.69GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 34.29%, 1.614GiB / 3.871GiB, 41.70%, 11.7MB / 274kB, 1.77GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 34.29%, 1.614GiB / 3.871GiB, 41.70%, 11.7MB / 274kB, 1.77GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 50.62%, 1.786GiB / 3.871GiB, 46.13%, 11.7MB / 274kB, 1.84GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 50.62%, 1.786GiB / 3.871GiB, 46.13%, 11.7MB / 274kB, 1.84GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 45.27%, 1.806GiB / 3.871GiB, 46.65%, 11.7MB / 274kB, 1.9GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 45.27%, 1.806GiB / 3.871GiB, 46.65%, 11.7MB / 274kB, 1.9GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 68.21%, 524.9MiB / 3.871GiB, 13.24%, 11.7MB / 274kB, 1.94GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 68.21%, 524.9MiB / 3.871GiB, 13.24%, 11.7MB / 274kB, 1.94GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 243.23%, 478MiB / 3.871GiB, 12.06%, 11.7MB / 279kB, 1.96GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 243.23%, 478MiB / 3.871GiB, 12.06%, 11.7MB / 279kB, 1.96GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 382.97%, 592.2MiB / 3.871GiB, 14.94%, 11.7MB / 279kB, 1.96GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 382.97%, 592.2MiB / 3.871GiB, 14.94%, 11.7MB / 279kB, 1.96GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 383.80%, 697.6MiB / 3.871GiB, 17.60%, 11.7MB / 279kB, 1.96GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 383.80%, 697.6MiB / 3.871GiB, 17.60%, 11.7MB / 279kB, 1.96GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 371.46%, 875.7MiB / 3.871GiB, 22.09%, 11.7MB / 279kB, 1.97GB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 0B / 0B, 0.00%, 0B / 0B, 0B / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 371.46%, 875.7MiB / 3.871GiB, 22.09%, 11.7MB / 279kB, 1.97GB / 0B
