[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.02%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 0.09%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.69%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.25%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.61%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.69%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.25%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.61%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.99%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.99%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.46%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.32%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.99%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.99%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.46%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.32%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.49%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.29%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.34%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.24%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 17.48%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.49%, 11.02MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.29%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.34%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.24%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 17.48%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.24%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.19%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.66%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.24%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 231kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.14%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.19%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.20%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.66%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.05%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.08%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.34%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.02%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.05%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.08%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.01%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.34%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.02%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.89%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.44%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.61%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.89%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.44%, 5.875MiB / 125MiB, 4.70%, 461kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.61%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.62%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.11%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.42%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.39%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.41%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.62%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.11%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.42%, 27.18MiB / 500MiB, 5.44%, 1.83MB / 324kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.39%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.41%, 12.47MiB / 3.871GiB, 0.31%, 82.5MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 19.24%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.84%, 27.18MiB / 500MiB, 5.44%, 1.84MB / 325kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.27%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.73%, 12.47MiB / 3.871GiB, 0.31%, 82.6MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 19.24%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.84%, 27.18MiB / 500MiB, 5.44%, 1.84MB / 325kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.27%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.73%, 12.47MiB / 3.871GiB, 0.31%, 82.6MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 19.24%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.10%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.84MB / 325kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.36%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.73%, 12.47MiB / 3.871GiB, 0.31%, 82.6MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.06%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.05%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.24%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.84MB / 325kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.36%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
OK,9,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,9,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.32%, 12.47MiB / 3.871GiB, 0.31%, 82.6MB / 117MB, 4.66MB / 0B
[2J[HOK,9,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.06%, 11.03MiB / 3.871GiB, 0.28%, 118MB / 84.7MB, 0B / 0B
OK,9,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.05%, 4.125MiB / 50MiB, 8.25%, 140kB / 232kB, 0B / 0B
OK,9,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.24%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,9,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.18MiB / 500MiB, 5.44%, 1.84MB / 325kB, 27.8MB / 0B
OK,9,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.36%, 5.875MiB / 125MiB, 4.70%, 462kB / 262kB, 160kB / 0B
