[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 5.70%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.48%, 5.926MiB / 125MiB, 4.74%, 855kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.61%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.29%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.11%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.48%, 5.926MiB / 125MiB, 4.74%, 855kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.61%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.27%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.33%, 5.926MiB / 125MiB, 4.74%, 855kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.96%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.27%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.33%, 5.926MiB / 125MiB, 4.74%, 855kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.96%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.83%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.05%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 855kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.00%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.83%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.05%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 855kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.00%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.59%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.16%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.32%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.27%, 5.926MiB / 125MiB, 4.74%, 856kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.90%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 11.59%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.16%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.32%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 601kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.27%, 5.926MiB / 125MiB, 4.74%, 856kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.90%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.65%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.24%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.18%, 5.926MiB / 125MiB, 4.74%, 856kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.06%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.65%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.03%, 4.137MiB / 50MiB, 8.27%, 254kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.17%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.24%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.18%, 5.926MiB / 125MiB, 4.74%, 856kB / 488kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.06%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.45%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.24%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 5.926MiB / 125MiB, 4.74%, 856kB / 489kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.18%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.45%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.24%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.19%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 5.926MiB / 125MiB, 4.74%, 856kB / 489kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.18%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.74%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 856kB / 489kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.11%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 7.74%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.15%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 856kB / 489kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.11%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.05%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.39%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 5.926MiB / 125MiB, 4.74%, 857kB / 489kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.39%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.05%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.20%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.39%, 29.41MiB / 500MiB, 5.88%, 3.42MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.63%, 5.926MiB / 125MiB, 4.74%, 857kB / 489kB, 160kB / 0B
OK,9,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,9,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.39%, 12.47MiB / 3.871GiB, 0.31%, 151MB / 215MB, 4.66MB / 0B
[2J[HOK,9,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.05%, 11.34MiB / 3.871GiB, 0.29%, 216MB / 155MB, 0B / 0B
OK,9,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 255kB / 431kB, 0B / 0B
OK,9,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,9,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.87%, 29.54MiB / 500MiB, 5.91%, 3.43MB / 602kB, 27.8MB / 0B
OK,9,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.21%, 5.926MiB / 125MiB, 4.74%, 857kB / 489kB, 160kB / 0B
