[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 88.9kB / 155kB, 1.29MB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.96MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 88.9kB / 155kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.91%, 6.004MiB / 3.703GiB, 0.16%, 76.1MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.75%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.574MiB / 125MiB, 4.46%, 315kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.25%, 24.96MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 88.9kB / 155kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.91%, 6.004MiB / 3.703GiB, 0.16%, 76.1MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.75%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.574MiB / 125MiB, 4.46%, 315kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.25%, 24.96MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 88.9kB / 155kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.30%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.21%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.61%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.74%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 88.9kB / 155kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.30%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.21%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.61%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.74%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.82%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.30%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.43%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.22%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.82%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.30%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.43%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.22%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.74%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 16.54%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.29%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.20%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.74%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 16.54%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.29%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.20%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 17.66%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.12%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.20%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 17.66%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.12%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.20%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.97MiB / 500MiB, 4.99%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.63%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.66%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.34%, 25.09MiB / 500MiB, 5.02%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.63%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.66%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.7MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.34%, 25.09MiB / 500MiB, 5.02%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.56%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.76%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.8MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.32%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.68%, 24.98MiB / 500MiB, 5.00%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.56%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.76%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.8MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.32%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.68%, 24.98MiB / 500MiB, 5.00%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.56%, 6.004MiB / 3.703GiB, 0.16%, 76.2MB / 57MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.76%, 6.215MiB / 3.703GiB, 0.16%, 55.5MB / 75.8MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.32%, 5.574MiB / 125MiB, 4.46%, 316kB / 188kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.68%, 24.98MiB / 500MiB, 5.00%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.13%, 2.812MiB / 50MiB, 5.62%, 89.3kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.56%, 6.004MiB / 3.703GiB, 0.16%, 76.3MB / 57.1MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.18%, 6.215MiB / 3.703GiB, 0.16%, 55.6MB / 75.8MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.47%, 5.574MiB / 125MiB, 4.46%, 316kB / 189kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.98MiB / 500MiB, 5.00%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.13%, 2.812MiB / 50MiB, 5.62%, 89.3kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.56%, 6.004MiB / 3.703GiB, 0.16%, 76.3MB / 57.1MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.18%, 6.215MiB / 3.703GiB, 0.16%, 55.6MB / 75.8MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.47%, 5.574MiB / 125MiB, 4.46%, 316kB / 189kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.98MiB / 500MiB, 5.00%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89.3kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 13.21%, 5.875MiB / 3.703GiB, 0.15%, 76.3MB / 57.1MB, 1.71MB / 0B
OK,7,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.90%, 6.215MiB / 3.703GiB, 0.16%, 55.6MB / 75.8MB, 2.74MB / 0B
OK,7,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.23%, 5.574MiB / 125MiB, 4.46%, 316kB / 189kB, 5.39MB / 0B
OK,7,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.26%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,7,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,7,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.01%, 24.98MiB / 500MiB, 5.00%, 1.23MB / 222kB, 19.2MB / 0B
[2J[HOK,7,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.812MiB / 50MiB, 5.62%, 89.3kB / 156kB, 1.29MB / 0B
OK,7,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 13.21%, 5.875MiB / 3.703GiB, 0.15%, 76.3MB / 57.1MB, 1.71MB / 0B
