[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.09kB / 1.71kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.85%, 5.633MiB / 3.703GiB, 0.15%, 88.4kB / 55.8kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.72%, 5.863MiB / 3.703GiB, 0.15%, 52.9kB / 81.5kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.21%, 4.676MiB / 125MiB, 3.74%, 7.08kB / 3.05kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.82%, 16.98MiB / 500MiB, 3.40%, 4.16kB / 1.31kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.16kB / 1.71kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.85%, 5.633MiB / 3.703GiB, 0.15%, 88.4kB / 55.8kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.72%, 5.863MiB / 3.703GiB, 0.15%, 52.9kB / 81.5kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.21%, 4.676MiB / 125MiB, 3.74%, 7.08kB / 3.05kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.82%, 16.98MiB / 500MiB, 3.40%, 4.16kB / 1.31kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.16kB / 1.71kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.65%, 5.73MiB / 3.703GiB, 0.15%, 109kB / 66.5kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.85%, 5.926MiB / 3.703GiB, 0.16%, 63.5kB / 103kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 4.68MiB / 125MiB, 3.74%, 7.31kB / 3.16kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.29%, 16.99MiB / 500MiB, 3.40%, 4.16kB / 1.31kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.16kB / 1.71kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.65%, 5.73MiB / 3.703GiB, 0.15%, 109kB / 66.5kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.85%, 5.926MiB / 3.703GiB, 0.16%, 63.5kB / 103kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 4.68MiB / 125MiB, 3.74%, 7.31kB / 3.16kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.29%, 16.99MiB / 500MiB, 3.40%, 4.16kB / 1.31kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.83%, 5.988MiB / 3.703GiB, 0.16%, 122kB / 78.2kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.00%, 5.945MiB / 3.703GiB, 0.16%, 73.7kB / 115kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.40%, 4.688MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.42%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.83%, 5.988MiB / 3.703GiB, 0.16%, 122kB / 78.2kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.00%, 5.945MiB / 3.703GiB, 0.16%, 73.7kB / 115kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.40%, 4.688MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.42%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.91%, 6.09MiB / 3.703GiB, 0.16%, 135kB / 88.4kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.36%, 5.953MiB / 3.703GiB, 0.16%, 83kB / 128kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 4.691MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.91%, 6.09MiB / 3.703GiB, 0.16%, 135kB / 88.4kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.36%, 5.953MiB / 3.703GiB, 0.16%, 83kB / 128kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 4.691MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.91%, 6.09MiB / 3.703GiB, 0.16%, 135kB / 88.4kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.99%, 5.961MiB / 3.703GiB, 0.16%, 92.7kB / 140kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.18%, 4.691MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.04%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.49%, 6.137MiB / 3.703GiB, 0.16%, 148kB / 98.4kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.99%, 5.961MiB / 3.703GiB, 0.16%, 92.7kB / 140kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.18%, 4.691MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.04%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.49%, 6.137MiB / 3.703GiB, 0.16%, 148kB / 98.4kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.99%, 5.961MiB / 3.703GiB, 0.16%, 92.7kB / 140kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.18%, 4.691MiB / 125MiB, 3.75%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.04%, 17.02MiB / 500MiB, 3.40%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.25%, 6.227MiB / 3.703GiB, 0.16%, 160kB / 108kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.77%, 5.969MiB / 3.703GiB, 0.16%, 104kB / 154kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.28%, 4.82MiB / 125MiB, 3.86%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.10%, 17.84MiB / 500MiB, 3.57%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.25%, 6.227MiB / 3.703GiB, 0.16%, 160kB / 108kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.77%, 5.969MiB / 3.703GiB, 0.16%, 104kB / 154kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.28%, 4.82MiB / 125MiB, 3.86%, 7.54kB / 3.33kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.23%, 9.902MiB / 50MiB, 19.80%, 4.24kB / 672B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.10%, 17.84MiB / 500MiB, 3.57%, 6.11kB / 1.68kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.55%, 6.086MiB / 3.703GiB, 0.16%, 181kB / 121kB, 1.59MB / 0B
OK,9,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.31%, 6.004MiB / 3.703GiB, 0.16%, 114kB / 174kB, 2.41MB / 0B
OK,9,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.37%, 4.707MiB / 125MiB, 3.77%, 7.77kB / 3.44kB, 5.31MB / 0B
OK,9,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.15%, 9.902MiB / 50MiB, 19.80%, 4.31kB / 738B, 7.64MB / 0B
OK,9,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.2kB / 0B, 848kB / 0B
OK,9,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.59%, 17.96MiB / 500MiB, 3.59%, 8.14kB / 2.12kB, 19MB / 0B
[2J[HOK,9,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.52MiB / 50MiB, 5.04%, 2.33kB / 1.94kB, 115kB / 0B
OK,9,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.55%, 6.086MiB / 3.703GiB, 0.16%, 181kB / 121kB, 1.59MB / 0B
