[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 38.9kB / 64.3kB, 1.29MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.31%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.00%, 5.531MiB / 3.703GiB, 0.15%, 28.7MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.42%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.5MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.64%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.00%, 5.531MiB / 3.703GiB, 0.15%, 28.7MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.42%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.5MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.64%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.71%, 5.527MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.01%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.01%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.71%, 5.527MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.01%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.01%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.88%, 5.527MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.32%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 1.94%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.15%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.88%, 5.527MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.32%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 1.94%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.15%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.88%, 5.527MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.32%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.516MiB / 125MiB, 4.41%, 133kB / 77.7kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 1.94%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.15%, 25.85MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.06%, 5.531MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.41%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.69%, 5.516MiB / 125MiB, 4.41%, 134kB / 78.1kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.24%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.95%, 25.86MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39kB / 64.5kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.06%, 5.531MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.41%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.69%, 5.516MiB / 125MiB, 4.41%, 134kB / 78.1kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.24%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.95%, 25.86MiB / 500MiB, 5.17%, 505kB / 92.3kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.723MiB / 50MiB, 5.45%, 39.1kB / 64.7kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.05%, 5.531MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.39%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 5.516MiB / 125MiB, 4.41%, 134kB / 78.2kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.16%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.25%, 25.86MiB / 500MiB, 5.17%, 507kB / 92.7kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.10%, 2.723MiB / 50MiB, 5.45%, 39.1kB / 64.7kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 11.05%, 5.531MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.39%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.39%, 5.516MiB / 125MiB, 4.41%, 134kB / 78.2kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.16%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.25%, 25.86MiB / 500MiB, 5.17%, 507kB / 92.7kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39.1kB / 64.7kB, 1.29MB / 0B
OK,2,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.94%, 5.527MiB / 3.703GiB, 0.15%, 28.8MB / 21.5MB, 1.71MB / 0B
OK,2,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.61%, 6.762MiB / 3.703GiB, 0.18%, 20.9MB / 28.6MB, 2.74MB / 0B
OK,2,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.516MiB / 125MiB, 4.41%, 134kB / 78.2kB, 5.39MB / 0B
OK,2,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.16%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,2,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,2,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 25.86MiB / 500MiB, 5.17%, 507kB / 92.7kB, 19.2MB / 0B
[2J[HOK,2,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.723MiB / 50MiB, 5.45%, 39.1kB / 64.7kB, 1.29MB / 0B
