[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.66%, 6.121MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.68%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 5.32MiB / 125MiB, 4.26%, 49.5kB / 27.7kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.25%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.42%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.66%, 6.121MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.68%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.19%, 5.32MiB / 125MiB, 4.26%, 49.5kB / 27.7kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.25%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.42%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.84%, 6.121MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.56%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.40%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.84%, 6.121MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.56%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.40%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.15%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.53%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.20%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.15%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.53%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.20%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.19%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.15%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.53%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.21%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.15%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.50%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 16.98%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.21%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.15%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.50%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 16.98%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.21%, 5.32MiB / 125MiB, 4.26%, 49.7kB / 27.8kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.15%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.78MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.09%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 20.36%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.4MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.33%, 5.32MiB / 125MiB, 4.26%, 49.9kB / 27.9kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.68%, 24.79MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.7kB / 22.9kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 10.09%, 5.992MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 20.36%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.4MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.33%, 5.32MiB / 125MiB, 4.26%, 49.9kB / 27.9kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.68%, 24.79MiB / 500MiB, 4.96%, 173kB / 33.4kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.695MiB / 50MiB, 5.39%, 15.8kB / 23.1kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 13.27%, 5.996MiB / 3.703GiB, 0.16%, 18.5MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.15%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.4MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.53%, 5.32MiB / 125MiB, 4.26%, 50.2kB / 28kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.16%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.35%, 24.79MiB / 500MiB, 4.96%, 175kB / 33.8kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.12%, 2.695MiB / 50MiB, 5.39%, 15.8kB / 23.1kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 13.27%, 5.996MiB / 3.703GiB, 0.16%, 18.5MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.15%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.4MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.53%, 5.32MiB / 125MiB, 4.26%, 50.2kB / 28kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.16%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.35%, 24.79MiB / 500MiB, 4.96%, 175kB / 33.8kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.8kB / 23.1kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.23%, 5.996MiB / 3.703GiB, 0.16%, 18.5MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.97%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.4MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.17%, 5.32MiB / 125MiB, 4.26%, 50.2kB / 28kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.27%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.01%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.01%, 24.79MiB / 500MiB, 4.96%, 175kB / 33.8kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.8kB / 23.1kB, 1.29MB / 0B
