[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 105kB / 184kB, 1.29MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.84%, 5.965MiB / 3.703GiB, 0.16%, 94.8MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.67%, 6.379MiB / 3.703GiB, 0.17%, 69.3MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.61%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.98%, 6.379MiB / 3.703GiB, 0.17%, 69.3MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.17%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.61%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.98%, 6.379MiB / 3.703GiB, 0.17%, 69.3MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.17%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 8.61%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.32%, 6.379MiB / 3.703GiB, 0.17%, 69.3MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.35%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.32%, 6.379MiB / 3.703GiB, 0.17%, 69.3MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.50%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.35%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.32%, 6.379MiB / 3.703GiB, 0.17%, 69.3MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.50%, 25.04MiB / 500MiB, 5.01%, 1.46MB / 263kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.92%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.10%, 6.379MiB / 3.703GiB, 0.17%, 69.4MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.44%, 25.04MiB / 500MiB, 5.01%, 1.47MB / 264kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.82MiB / 50MiB, 5.64%, 106kB / 184kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 12.92%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.1MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.10%, 6.379MiB / 3.703GiB, 0.17%, 69.4MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.22%, 5.574MiB / 125MiB, 4.46%, 373kB / 224kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.44%, 25.04MiB / 500MiB, 5.01%, 1.47MB / 264kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.17%, 2.82MiB / 50MiB, 5.64%, 106kB / 185kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.12%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.2MB, 1.71MB / 0B
OK,9,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.02%, 6.379MiB / 3.703GiB, 0.17%, 69.4MB / 94.3MB, 2.74MB / 0B
OK,9,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.58%, 5.574MiB / 125MiB, 4.46%, 374kB / 225kB, 5.39MB / 0B
OK,9,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.21%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,9,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,9,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.01%, 25.04MiB / 500MiB, 5.01%, 1.47MB / 264kB, 19.3MB / 0B
[2J[HOK,9,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.17%, 2.82MiB / 50MiB, 5.64%, 106kB / 185kB, 1.29MB / 0B
OK,9,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.12%, 5.965MiB / 3.703GiB, 0.16%, 94.9MB / 71.2MB, 1.71MB / 0B
